Evaluation Data,,,,
Evaluation Index,Label 1,Label 2,Label 3,Response 1
8,1,1,8,1649.68335
80,1,1,8,1649.68335
152,1,1,8,1649.68335
224,1,1,8,1649.68335
296,1,1,8,1649.68335
320,1,1,8,1649.68335
368,1,1,8,1649.68335
440,1,1,8,1649.68335
512,1,1,8,1649.68335
584,1,1,8,1649.68335
656,1,1,8,1649.68335
728,1,1,8,1649.68335
800,1,1,8,1649.68335
872,1,1,8,1649.68335
944,1,1,8,1649.68335
968,1,1,8,1649.68335
1016,1,1,8,1649.68335
1088,1,1,8,1649.68335
1160,1,1,8,1649.68335
1232,1,1,8,1649.68335
1304,2,1,8,1649.684448
1376,2,1,8,1649.684448
1448,2,1,8,1649.684448
1520,2,1,8,1649.684448
1592,2,1,8,1649.684448
1616,2,1,8,1649.684448
1664,2,1,8,1649.684448
1736,2,1,8,1649.684448
1808,2,1,8,1649.684448
1880,2,1,8,1649.684448
1952,2,1,8,1649.684448
2024,2,1,8,1649.684448
2096,2,1,8,1649.684448
2168,2,1,8,1649.684448
2240,2,1,8,1649.684448
2264,2,1,8,1649.684448
2312,2,1,8,1649.684448
2384,2,1,8,1649.684448
2456,2,1,8,1649.684448
2528,3,1,8,1649.685669
2600,3,1,8,1649.685669
2672,3,1,8,1649.685669
2744,3,1,8,1649.685669
2816,3,1,8,1649.685669
2888,3,1,8,1649.685669
2912,3,1,8,1649.685669
2960,3,1,8,1649.685669
3032,3,1,8,1649.685669
3104,3,1,8,1649.685669
3176,3,1,8,1649.685669
3248,3,1,8,1649.685669
3320,3,1,8,1649.685669
3392,3,1,8,1649.685669
3464,3,1,8,1649.685669
3536,3,1,8,1649.685669
3560,3,1,8,1649.685669
3608,3,1,8,1649.685669
3680,3,1,8,1649.685669
3752,4,1,8,1649.68689
3824,4,1,8,1649.68689
3896,4,1,8,1649.68689
3968,4,1,8,1649.68689
4040,4,1,8,1649.68689
4112,4,1,8,1649.68689
4184,4,1,8,1649.68689
4208,4,1,8,1649.68689
4256,4,1,8,1649.68689
4328,4,1,8,1649.68689
4400,4,1,8,1649.68689
4472,4,1,8,1649.68689
4544,4,1,8,1649.68689
4616,4,1,8,1649.68689
4688,4,1,8,1649.68689
4760,4,1,8,1649.68689
4832,4,1,8,1649.68689
4856,4,1,8,1649.68689
4904,4,1,8,1649.68689
4976,4,1,8,1649.68689
5048,5,1,8,1649.688354
5072,5,1,8,1649.688354
5120,5,1,8,1649.688354
5192,5,1,8,1649.688354
5264,5,1,8,1649.688354
5336,5,1,8,1649.688354
5408,5,1,8,1649.688354
5480,5,1,8,1649.688354
5504,5,1,8,1649.688354
5552,5,1,8,1649.688354
5624,5,1,8,1649.688354
5696,5,1,8,1649.688354
5768,5,1,8,1649.688354
5840,5,1,8,1649.688354
5912,5,1,8,1649.688354
5984,5,1,8,1649.688354
6056,5,1,8,1649.688354
