Evaluation Data,,,,,,
Evaluation Index,Label 1,Label 2,Label 3,Label 4,Label 5,Response 1
405,3,4,1,1,5,1734.539795
90,1,2,1,1,5,1734.539917
300,2,2,1,1,5,1734.539917
390,2,2,1,1,5,1734.539917
720,4,1,1,1,5,1734.539917
930,5,2,1,1,5,1734.539917
180,1,1,1,1,5,1734.540039
55,1,5,2,1,5,1734.540894
615,4,5,2,1,5,1734.540894
195,1,4,2,1,5,1734.541016
285,2,4,2,1,5,1734.541016
510,3,3,2,1,5,1734.541016
685,4,4,2,1,5,1734.541016
825,5,4,2,1,5,1734.541016
915,5,4,2,1,5,1734.541016
145,1,3,2,1,5,1734.541138
1000,5,1,2,1,5,1734.541138
775,4,5,3,1,5,1734.542236
895,5,5,3,1,5,1734.542236
265,2,3,3,1,5,1734.542358
670,4,3,3,1,5,1734.542358
790,4,3,3,1,5,1734.542358
40,1,1,3,1,5,1734.54248
370,2,2,3,1,5,1734.54248
580,3,1,3,1,5,1734.54248
335,2,5,4,1,5,1734.543701
475,3,5,4,1,5,1734.543701
965,5,4,4,1,5,1734.543823
20,1,1,4,1,5,1734.543945
160,1,1,4,1,5,1734.543945
650,4,2,4,1,5,1734.543945
880,5,1,4,1,5,1734.543945
635,4,5,5,1,5,1734.545288
755,4,5,5,1,5,1734.545288
125,1,4,5,1,5,1734.54541
230,2,3,5,1,5,1734.545532
440,3,1,5,1,5,1734.545532
530,3,2,5,1,5,1734.545532
545,3,3,5,1,5,1734.545532
860,5,2,5,1,5,1734.545532
111,1,5,1,2,5,1753.321777
831,5,5,1,2,5,1753.321777
531,3,4,1,2,5,1753.321899
621,4,4,1,2,5,1753.321899
741,4,4,1,2,5,1753.321899
846,5,3,1,2,5,1753.321899
216,2,1,1,2,5,1753.322021
426,3,2,1,2,5,1753.322021
811,5,5,2,2,5,1753.322998
951,5,5,2,2,5,1753.322998
321,2,3,2,2,5,1753.32312
726,4,3,2,2,5,1753.32312
6,1,2,2,2,5,1753.323242
96,1,1,2,2,5,1753.323242
496,3,1,2,2,5,1753.323242
636,4,2,2,2,5,1753.323242
391,2,5,3,2,5,1753.324341
601,4,4,3,2,5,1753.324341
181,1,4,3,2,5,1753.324463
481,3,3,3,2,5,1753.324463
586,3,2,3,2,5,1753.324463
706,4,2,3,2,5,1753.324463
76,1,1,3,2,5,1753.324585
146,1,2,4,2,5,1753.325928
236,2,2,4,2,5,1753.325928
286,2,3,4,2,5,1753.325928
461,3,4,4,2,5,1753.325928
776,4,1,4,2,5,1753.325928
866,5,2,4,2,5,1753.325928
916,5,1,4,2,5,1753.325928
356,2,1,4,2,5,1753.32605
251,2,5,5,2,5,1753.327393
671,4,5,5,2,5,1753.327393
971,5,5,5,2,5,1753.327393
41,1,3,5,2,5,1753.327515
131,1,4,5,2,5,1753.327515
341,2,4,5,2,5,1753.327515
