Evaluation Data,,,,,,,,
Evaluation Index,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Response 1
2275,2,7,5,1,1,8,1,1519.957764
560,1,1,7,1,1,8,1,1519.961914
3640,3,1,5,2,1,8,1,1520.007446
8645,7,6,7,2,1,8,1,1520.010986
4641,4,5,3,3,1,8,1,1520.056641
9646,8,4,5,3,1,8,1,1520.059814
9282,8,3,2,4,1,8,1,1520.111572
2562,3,3,3,4,1,8,1,1520.113037
637,1,6,5,4,1,8,1,1520.115967
1197,1,6,1,5,1,8,1,1520.17041
5278,5,4,4,5,1,8,1,1520.174805
5642,5,3,8,5,1,8,1,1520.183228
1638,2,4,1,6,1,8,1,1520.235718
6643,6,7,3,6,1,8,1,1520.238037
3563,3,7,8,6,1,8,1,1520.248413
6279,6,8,3,7,1,8,1,1520.30835
8204,7,2,7,7,1,8,1,1520.316406
7644,7,2,2,8,1,8,1,1520.384155
4564,4,2,3,8,1,8,1,1520.38562
4410,4,3,1,1,1,8,2,1532.995605
2485,2,6,3,1,1,8,2,1532.997803
4200,4,1,3,1,1,8,2,1532.998169
5565,5,6,2,2,1,8,2,1533.0448
7126,6,4,6,2,1,8,2,1533.05127
5201,5,5,8,2,1,8,2,1533.055542
3486,3,4,1,3,1,8,2,1533.095459
8491,7,7,5,3,1,8,2,1533.10083
5411,5,7,6,3,1,8,2,1533.102783
6566,6,4,7,3,1,8,2,1533.105103
9492,8,2,3,5,1,8,2,1533.212891
7567,7,8,5,5,1,8,2,1533.215576
4487,4,8,7,5,1,8,2,1533.219849
3122,3,3,8,5,1,8,2,1533.222656
5488,5,1,5,6,1,8,2,1533.280273
2408,2,1,7,6,1,8,2,1533.284424
3409,3,5,5,7,1,8,2,1533.349609
1484,2,2,8,7,1,8,2,1533.356445
6489,6,5,1,8,1,8,2,1533.418945
2044,2,2,4,8,1,8,2,1533.42334
119,1,8,6,8,1,8,2,1533.426758
9569,8,5,6,8,1,8,2,1533.42688
9360,8,1,1,1,2,8,1,1537.225342
1275,2,7,3,1,2,8,1,1537.227295
6280,6,1,5,1,2,8,1,1537.230713
351,1,8,1,2,2,8,1,1537.275513
2990,3,4,7,2,2,8,1,1537.285522
2276,2,2,8,2,2,8,1,1537.28772
7281,6,5,1,3,2,8,1,1537.330566
5916,5,2,1,3,2,8,1,1537.330811
5356,5,2,3,3,2,8,1,1537.333374
3991,4,8,5,3,2,8,1,1537.335815
1561,2,5,5,3,2,8,1,1537.336304
1912,2,1,5,4,2,8,1,1537.395142
8282,7,3,6,4,2,8,1,1537.396851
1352,2,1,6,4,2,8,1,1537.396973
4278,4,4,2,5,2,8,1,1537.453613
2353,2,5,4,6,2,8,1,1537.52478
7358,6,4,7,6,2,8,1,1537.53064
3354,3,3,2,7,2,8,1,1537.596191
8359,7,8,5,7,2,8,1,1537.600342
274,1,3,4,8,2,8,1,1537.680054
2639,3,8,7,8,2,8,1,1537.685669
6335,6,8,8,1,1,8,3,1547.344604
9051,8,7,2,2,1,8,3,1547.381714
9415,8,8,4,2,1,8,3,1547.384399
2331,2,7,1,3,1,8,3,1547.431396
966,1,4,2,3,1,8,3,1547.433105
406,1,4,3,3,1,8,3,1547.434448
7336,6,1,4,3,1,8,3,1547.435913
1407,2,8,2,4,1,8,3,1547.486816
3332,3,2,6,4,1,8,3,1547.493896
8337,7,5,2,5,1,8,3,1547.545654
5047,5,8,6,5,1,8,3,1547.55188
7413,6,6,3,6,1,8,3,1547.609985
4333,4,6,5,6,1,8,3,1547.613281
9338,8,3,7,6,1,8,3,1547.617554
6048,5,1,1,7,1,8,3,1547.675781
7973,7,6,8,7,1,8,3,1547.688354
3969,4,5,1,8,1,8,3,1547.749634
8414,7,4,8,8,1,8,3,1547.762573
8205,7,6,3,1,2,8,2,1550.159668
3200,3,1,7,1,2,8,2,1550.166626
4201,4,5,5,2,2,8,2,1550.213135
7490,6,3,6,2,2,8,2,1550.214966
9920,8,1,6,2,2,8,2,1550.214966
7841,7,5,6,3,2,8,2,1550.268799
5202,5,3,1,4,2,8,2,1550.319214
7127,6,8,8,4,2,8,2,1550.330933
3837,4,6,2,5,2,8,2,1550.382324
197,1,6,8,5,2,8,2,1550.393555
8568,7,1,1,6,2,8,2,1550.448608
483,1,7,3,6,2,8,2,1550.450806
9283,8,7,5,6,2,8,2,1550.453979
6763,6,7,5,6,2,8,2,1550.454102
6203,5,7,7,6,2,8,2,1550.458252
4838,4,4,7,6,2,8,2,1550.458496
9129,8,5,2,7,2,8,2,1550.522583
834,1,3,3,7,2,8,2,1550.52417
1198,1,4,4,7,2,8,2,1550.525635
7204,6,2,5,7,2,8,2,1550.527466
8919,8,8,1,8,2,8,2,1550.600586
4355,4,7,8,1,3,8,1,1556.553101
5070,5,4,2,2,3,8,1,1556.596313
6631,6,8,5,2,3,8,1,1556.599976
65,1,5,6,2,3,8,1,1556.602173
4706,4,3,8,3,3,8,1,1556.66333
702,1,4,1,4,3,8,1,1556.712891
6357,6,6,2,4,3,8,1,1556.713745
3277,3,6,4,4,3,8,1,1556.716675
7996,7,2,4,4,3,8,1,1556.716797
8997,8,6,2,5,3,8,1,1556.779663
2067,2,7,3,5,3,8,1,1556.781006
3628,3,2,4,5,3,8,1,1556.782959
